Word,Usage Number,Green's Notes,Ambidextrous?,Farmer & Henley?,First Date,Last Date,Years Used,First Date As Person
aaron's rod,2,"[punning on rod n. (1), f. Num. 17:8: ‘Behold, the rod of Aaron...was budded, and brought forth buds, and bloomed blossoms and yielded almonds’]",N,N,1883,1896,13,
abraham,1,"[Abraham, the biblical patriarch, i.e. the role of the penis in procreation]",N,Y,1890,1890,0,
accoutrements,1,"[SE accoutrements, apparel, outfit, equipment]",N,Y,1890,1890,0,
ace,3,"[the characteristics of SE ace, one (at dice, in cards), as superior and singular]",Y,N,1618,1846,228,
Adam's apple-tree,1,,N,N,1788,1788,0,
Adam's arsenal,1,[the biblical Adam had no weaponry + SE arsenal; it is ‘loaded’ with semen],N,Y,1890,1890,0,
Adam's dagger,1,,N,N,1836,1836,0,
Adam's needle,1,,N,N,1883,1883,0,
affair,8,"[SE affair, a thing]",Y,N,1748,1907,159,
agitator,1,,N,N,1846,1846,0,
almond,1,[rhy. sl.; almond rock = cock n.3 (1)],N,N,1893,1997,104,
ambassador (of love),1,[it ‘presents its credentials’ to the vagina],N,N,1788,1788,0,
andouille,1,,N,N,1653,1653,0,
apples,3,the testicles,N,N,1834,1890,56,
arbor vitae,12,"[Lat. arbor vitae, the tree of life; the SE use refers to various evergreen trees]",N,Y,1732,1904,172,
arse,,,,,,,0,
arse wedge,2,,N,Y,1890,1896,6,
arse-opener,1,,N,Y,1890,1890,0,
arse-pin,1,,N,N,1834,1834,0,
article,5,,Y,N,1834,1897,63,
ass,,,,,,,0,
atheneum,2,"[? the Athenaeum Club, London, which might be seen as the fount of all wisdom]",N,Y,1890,1904,14,
augretine,1,,N,N,1653,1653,0,
awl,6,,N,N,1638,1834,196,
bableret,1,,N,N,1653,1653,0,
baby-maker,1,[the procreative function of the organ],Y,Y,1890,1890,0,
bag,12,"1. as a container or receptacle. / (a) the scrotum [note double entendre in D’Urfey, Pills to Purge Melancholy (1719): ‘But what is this that hangs under his Chin, / [...] / ’Tis the Bag he puts his Provender in’].",Y,N,1546,1965,419,
bag of tricks,2,"[SE bag of tricks, a clever or dextrous device]",Y,Y,1841,1890,49,
bagpipe,5,,N,N,1640,1790,150,
bags,3,[bag n.1 ] / the testicles,N,N,1732,1838,106,
bald-headed hermit,7,"[the glans penis which, in uncircumcised men, ‘hides away’ beneath the foreskin and resembles the monk’s bald tonsure]",N,Y,1656,2012,356,
ball-bag,1,[SE bag/bag n.1 (1a)],N,N,1888,2016,128,
ballast-bags,1,the testicles,N,N,1892,1892,0,
ballcock,2,,N,N,1834,1850,16,
ballocks,32,"[ballock n.] / 1. (also ballyx, bollax) testicles.",N,N,1000,2005,1005,
balls,18,[the shape] / 1. the testicles; occas. in sing.,N,N,1615,2023,408,
banana,1,,N,N,1699,2023,324,
barber's sign,5,"[the red-and-white striped pole that signified a barber’s shop; ‘a standing pole and two wash-balls’ (Grose, 1796). Note SE wash-ball, a ball of soap, often used for shaving]",N,N,1786,1823,37,
battering piece,7,"[SE battering piece, a heavy cannon specially designed for besieging and destroying fortifications]",N,Y,1748,1890,142,
bauble,19,"[SE bauble, a plaything/a showy trinket] / ... / 2. (also bawbels, bawbles, baws) in pl., the testicles.",N,Y,1593,1896,303,
bayonet,5,,N,Y,1781,1896,115,
beagles,1,"[ in defining thicket ] pubic hair, usu. female; cit. c.1660 is part of a lengthy hunting-based double entendre; ‘beagles’ are the testicles.",N,N,1660,1660,0,
beak,1,,N,Y,1890,1890,0,
bean-tosser,3,[? shape],N,Y,1834,1904,70,
beard-splitter,1,,N,Y,1890,1890,0,
bed fellow,1,[pun],Y,Y,1890,1890,0,
beef,5,,Y,N,1603,1890,287,
bell,1,,N,N,1593,1593,0,
belling,1,[the shape of a bell] / the head of the penis.,N,N,1888,1888,0,
belly ruffian,2,[affectionate play on SE],N,Y,1888,1896,8,
best leg of three,2,,N,Y,1890,1904,14,
bill,1,,N,N,1654,1654,0,
billard ball,1,"1. in phr. billiard balls and stick, the testicles (and penis).",N,N,1660,1660,0,
bird,3,"1. (mainly US) the penis; thus jerk one’s bird, to masturbate; get one’s bird in a splint, to get into (painful) difficulties; gobble someone’s bird, to fellate; how’s your bird? a phrase of greeting.",N,Y,1790,1890,100,
black pudding,1,,N,N,1837,1837,0,
blade,5,,N,Y,1611,1890,279,
blind boy,4,,N,N,1670,1790,120,
bludgeon,2,,N,Y,1890,1896,6,
blue vein,1,,Y,N,1835,1835,0,
blueskin,1,,N,Y,1890,1890,0,
bob,3,,N,N,1798,1836,38,
bob-my-nag,1,[the image of ‘riding’ a nag n. (1a)],N,Y,1890,1890,0,
bobbles,2,[SE baubles] / 1. the testicles.,N,Y,1888,1890,2,
bobstay,5,"[naut. jargon bobstay, a rope that holds down the bowsprit of a ship, counteracting the upward force of the fore-mast stays]",N,N,1786,1984,198,
bodkin,10,"[SE bodkin, a large needle or small dagger, esp. a large needle-shaped instrument with a blunt, knobbed point]",N,Y,1623,1890,267,
bone,8,,N,N,1654,2023,369,
bore,1,"1. (also bore-staff) the penis [SE bore, an auger].",Y,N,1838,1838,0,
borer,1,,N,N,1653,1653,0,
bottle,1,1. the penis [? resemblance].,N,N,1707,1707,0,
bottom-wetter,1,,N,N,1896,1896,0,
bow,9,"[it shoots ‘arrows’, presumably of desire]",N,Y,1468,1890,422,
bowspirit,2,"[SE bowsprit, ‘a large spar or boom running out from the stem of a vessel, to which (and the jib-boom and flying jib-boom, which extend beyond it) the foremast stays are fastened’ (OED)]",N,N,1834,1984,150,
boy,1,,N,N,1896,1896,0,
"boy, the",2,[its innate masculinity],N,N,1674,1838,164,
bracmard,2,"[Fr. braquemard, a short broad sword]",N,Y,1653,1890,237,
braguette,1,,N,N,1653,1653,0,
brat-getter,1,,N,Y,1890,1890,0,
bridle,2,1. the frenum or ligament of the penis [it is attached to the ‘head’ of the penis].,N,N,1654,1749,95,
brisket beef,1,,N,N,1672,1672,0,
broom-handle,2,,N,Y,1890,1896,6,
brush,3,"[SE brush against, i.e. the vagina, other people]",N,N,1784,1841,57,
bugle,1,[play on horn n.2 (1b)],N,N,1839,1839,0,
bull-horned devil,1,,N,N,1653,1653,0,
bullet,1,"1. in pl., the testicles.",N,N,1597,1597,0,
bully-ruffian,1,,N,N,1653,1653,0,
bum-tickler,1,,N,Y,1890,1890,0,
bunguetee,1,,N,N,1653,1653,0,
bush-beater,3,[SE beater + pun on SE phr. beat around the bush],N,Y,1653,1896,243,
bush-rusher,1,,N,N,1653,1653,0,
bushwhacker,1,[bush n.1 (2a) + whack v.1 (1)],N,Y,1890,1890,0,
butcher,1,,N,Y,1890,1890,0,
butcherknife,1,,N,N,1904,1904,0,
button,2,[all f. shape and/or size of SE button],N,N,1691,1793,102,
cable,1,,N,N,1740,1740,0,
cannon,2,,N,N,1693,1834,141,
Captain Standish,1,"[SE stand, he ‘stands erect’]",N,Y,1890,1890,0,
cat,4,"[Ital. cazzo, the penis/abbr. catso n. (2) or the perceived lecherousness of a SE tomcat] / the penis; esp. in phr. a bit for one’s cat.",N,N,1621,1694,73,
catso,8,"[Ital. cazzo, the penis, lit. ‘thrust’; it is possible, comparing similar fig. use of penis = fool usages, plus catso! excl., that sense 2 in fact predates sense 1]",N,Y,1611,2023,412,
champion,2,,N,N,1788,1904,116,
chanter-pipe,2,[SE chanter = Irish bagpipes],N,N,1768,1865,97,
charger,3,,N,N,1867,1904,37,
charms,5,[euph.; prior use is SE],Y,N,1707,2000,293,
cherry,1,"[Williams (1994) offers examples of cherry in sexual contexts, but none refer to virginity, uses tend to the supposed similarity of the black cherry and female pubic hair, or plays on cherry stones and stones/testicles]",N,N,1834,1834,0,
child-getter,1,,N,Y,1890,1890,0,
chink-stopper,3,3,N,Y,1890,1904,14,
