Word,Date,Notes Citation,Green Citation,Citation
sting,1675,,Wycherley Country-Wife III ii,"Now your Sting is gone, you look’d in the Box amongst all those Women, like a drone in the hive."
lobcock,1606,,Wily Beguiled 15,"churms: Since when? wil.: Why since you were bumbasted, that your lubberly legges would not carrie your lobcocke bodie"
gear,1520,,Wife Lapped in Morrelles Skin in Hazlitt Early Popular Poetry IV line 717,"For I will trim thee in thy geare, Or else I would I were cald a Sow."
egg,1675,,White ‘New Made Gentlewoman’ in Chappell Roxburghe Ballads (1874) II 380,[A clap which makes me] go stradling with swelling my eggs you may drive a wheelbarrow between my two legs.
instrument,1616,,Webster Duchess of Malfi II ii,"There was a young waiting-woman, had a monstrous desire to see the glass-house [...] And it was only to know what strange instrument it was, should swell up a glass to the fashion of a woman’s belly."
pudding,1617,,Webster Devil’s Law-Case I i,I have heard Strange jugling tricks have been conveyed to a woman / In a Pudding.
spindle,1625,,Webster Cure for a Cuckold III ii,"What tho your husband lent my wife your distaff, shall not the yarn be mine? He have the head, let him carry the spindle home agen."
poker,1816,,W.T. Moncrieff All at Coventry I i,"gab.: Tell me, what was it you said to the young lady, eh, Tommy? tom.: A great deal – Vir sapit qui pauca loquitur. gab.: A great deal in a saw-pit! – that you’d requite her with a poker!"
gun,1676,,W.P. Wit’s Academy II 98,A lusty stout Captain laid siege to my Ford [...] And he had a Gun gave such a report: That I could not at all complain.
ballocks,1568,,W. Turner Herbal n.p.,Whyte hares coddes / or in other more vnmanerly speche / hares ballockes.
ballocks,1640,,W. Somner Antiquities of Canterbury 347,"Stour-street, at the other against the Chapell-Church-yard, to this day remembred by the name of Ballock-lane."
pole,1742,,W. Somerville ‘A Dainty New Ballad’ in Chalmers Eng. Poets (1810) XI 207/1,"At length a youth full smart, Who oft by magic art Had div’d in many a hole [...] He’d sound it with his pole. [...] Engag’d her love-sick heart; Quoth she, my pretty Diver, With thee I’ll live for ever."
pen,1636,,W. Sampson Vow-breaker IV ii,"[Of a new-born baby] Carries it an English Pen, and Inke-horne Or a dutch watch tankard?"
joint,1636,,W. Sampson Vow-breaker II ii,I have daunc’d till every joynt about me growes stiffe but that which should be.
ballocks,1636,,W. Sampson Vow Breaker IV i,"You were borne under Caster, and Bollux then, for you had two children before you weare married."
rudder,1675,,W. Lawrence Diary July 24,"It is this little Member, which, like the Rudder of a Ship, steeres the mind as well of the prince as the peasant. ’Tis a Remora that can stop a Ship in its full saile"
joint,1616,,W. Goddard Mastif Whelp Bv,"To his great detryment he lost a joynte, But fudge where twas: oh! hard at’s Codpeece poynte."
club,1620,,W. Drummond Epigram 1X in Chalmers Eng. Poets (1810) V 694/2,Flora [...] Naked Alcide’s statue did behold; And with delight admired each am’rous limb [...] To such tall joints a taller club belonge’d – The club hung by his thigh.
rod,1821,,"W. Combe Doctor Syntax, Wife (1868) 330/2","I bid them send their Mrs. Briskit, / Just to visit us and frisk it, / As we had a rod in pickling, / To give her fancy such a tickling."
lance,1658,,W. Chamberlayne Love’s Victory 42,"Come grannum, are they fresh and wholesome, such as may be tilted at and not Indanger the head of the Lance?"
plough,1697,,Vanbrugh Provoked Wife V iii,"Pretending the Corn was sow’d in the Ground, before ever the Plough had been in the Field."
meat,1702,,Vanbrugh Aesop III i,"I’ll make you stay your Stomach with Meat of my chusing, you liquorish young Baggage you."
hammer,1572,,Valenger ‘Cockolds Kallender’ in Arundel MS I 218,[Her] Anvill bydeth battring still of hammers great and smale.
male-mules,1653,,Urquhart (trans.) Rabelais.,
peg,1653,,Urquhart (trans.) Rabelais III Prologue,"In the name of... the four hips that engendered you, and to the quickening peg which at that time conjoined them."
nut,1653,,Urquhart (trans.) Rabelais III 2,"[It] hardens the Nut, and rectifies that Member."
pin,1653,,Urquhart (trans.) Rabelais III 19,The quick-set Imp of the Pin of Copulation.
end,1653,,Urquhart (trans.) Rabelais III 18,She will suck me at my best End.
Sir Martin Wagstaffe,1653,,Urquhart (trans.) Rabelais III 12,Sir Martin Wagstaff will perform that Office ... in default of a Cudgel.
thing,1653,,Urquhart (trans.) Rabelais I xi,"Madam, do you cut little children’s things? Were his cut off, he would be then Monsieur Sans-queue, the curtailed master."
staff of love,1653,,Urquhart (trans.) Rabelais I xi,"One of them would call it her fiddle-diddle, her staff of love... her Cyprian sceptre."
sausage,1653,,Urquhart (trans.) Rabelais I xi,"Some of the other women would give these names [...] my lusty andouille [i.e. sausage], and crimson chitterling, my little couille bredouille [etc.]"
wimble,1653,,Urquhart (trans.) Rabelais I 12,"My gallant wimble, my pretty boarer."
Master John Goodfellow,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 357,"Here with in, — in showing her his long cod-piece, — Master John Thursday, who will play you such an antic, that you shall feel the sweetness thereof even to the very marrow of your bones. [Ibid.] 360: Hold (showing his long cod-piece), this is master John Goodfellow that asks for lodging."
generating tool,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 336,That which makes the genitories or generation-tools of these fair fraters so long.
Don Cypriano,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 335,"[He] showed his bel vedere to the world, together with his Don Cypriano, which was no small one."
bracmard,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 329,"A like number of the nudinnudos, nilnisistandos, and stiff bracmards, that dwell in amongst the claustral cod-pieces."
cullions,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 322,"The fire which I had cast into the lap of my poultry roaster burned all his groin, and was beginning to seize upon his cullions."
ballocks,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk II 229,"Others did grow in the matter of ballocks so enormously, that three of them would well fill a sack."
flip-flap,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 51,"I would have cleft her water-gap, / And join’d it close to my flip-flap."
you know what,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"[They] would pass their time, in taking you know what between their fingers and dandling it, till it did revive and creep up to the stiffness of a suppository."
trouble-gusset,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
touch-trap,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"Another [would call it] her sugar-plum, her kingo, her old rowley, her touch-trap, her flap dowdle."
tit-bit,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"Another again [would call it] her branch of coral, her placket-racket, her Cyprian sceptre, her tit-bit, her bob-lady."
tickle-gizzard,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"One of them would call it her pillicock, her fiddle-diddle, her staff of love, her tickle-gizzard, her gentle-titler."
stiff and stout,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
smell-smock,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
shove-devil,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
rump-splitter,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
roger,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, [etc.]."
placket-racket,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"Another again [would call it] her branch of coral, her placket-racket, her Cyprian sceptre, her tit-bit, her bob-lady."
pioneer (of nature),1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
pillicock,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"One of them would call it her pillicock, her fiddle-diddle, her staff of love, her tickle-gizzard, her gentle-titler."
picklock,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
nimble-wimble,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
live sausage,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
